id,sepal_length,sepal_width,petal_length,petal_width,variety,scaled_sepal_length,scaled_sepal_width,scaled_petal_length,scaled_petal_width,x,y,x_overlapRemoved,y_overlapRemoved,cluster
1,5.1,3.5,1.4,0.2,Setosa,0.646,0.795,0.203,0.08,0.83,0.088,0.808,0.103,Setosa
2,4.9,3.0,1.4,0.2,Setosa,0.62,0.682,0.203,0.08,0.91,0.144,0.889,0.103,Setosa
3,4.7,3.2,1.3,0.2,Setosa,0.595,0.727,0.188,0.08,0.917,0.146,0.909,0.154,Setosa
4,4.6,3.1,1.5,0.2,Setosa,0.582,0.705,0.217,0.08,0.902,0.176,0.889,0.206,Setosa
5,5.0,3.6,1.4,0.2,Setosa,0.633,0.818,0.203,0.08,0.843,0.082,0.829,0.051,Setosa
6,5.4,3.9,1.7,0.4,Setosa,0.684,0.886,0.246,0.16,0.745,0.036,0.728,0.103,Setosa
7,4.6,3.4,1.4,0.3,Setosa,0.582,0.773,0.203,0.12,0.915,0.137,0.909,0.103,Setosa
8,5.0,3.4,1.5,0.2,Setosa,0.633,0.773,0.217,0.08,0.835,0.111,0.808,0.206,Setosa
9,4.4,2.9,1.4,0.2,Setosa,0.557,0.659,0.203,0.08,0.953,0.187,0.95,0.154,Setosa
10,4.9,3.1,1.5,0.1,Setosa,0.62,0.705,0.217,0.04,0.866,0.152,0.869,0.154,Setosa
11,5.4,3.7,1.5,0.2,Setosa,0.684,0.841,0.217,0.08,0.751,0.059,0.748,0.051,Setosa
12,4.8,3.4,1.6,0.2,Setosa,0.608,0.773,0.232,0.08,0.838,0.136,0.829,0.103,Setosa
13,4.8,3.0,1.4,0.1,Setosa,0.608,0.682,0.203,0.04,0.921,0.153,0.93,0.154,Setosa
14,4.3,3.0,1.1,0.1,Setosa,0.544,0.682,0.159,0.04,0.957,0.198,0.97,0.206,Setosa
15,5.8,4.0,1.2,0.2,Setosa,0.734,0.909,0.174,0.08,0.698,0.016,0.687,0.0,Setosa
16,5.7,4.4,1.5,0.4,Setosa,0.722,1.0,0.217,0.16,0.716,0.0,0.707,0.051,Setosa
17,5.4,3.9,1.3,0.4,Setosa,0.684,0.886,0.188,0.16,0.743,0.034,0.728,0.051,Setosa
18,5.1,3.5,1.4,0.3,Setosa,0.646,0.795,0.203,0.12,0.814,0.095,0.788,0.154,Setosa
19,5.7,3.8,1.7,0.3,Setosa,0.722,0.864,0.246,0.12,0.697,0.041,0.687,0.051,Setosa
20,5.1,3.8,1.5,0.3,Setosa,0.646,0.864,0.217,0.12,0.8,0.055,0.788,0.051,Setosa
21,5.4,3.4,1.7,0.2,Setosa,0.684,0.773,0.246,0.08,0.734,0.096,0.728,0.206,Setosa
22,5.1,3.7,1.5,0.4,Setosa,0.646,0.841,0.217,0.16,0.8,0.066,0.788,0.103,Setosa
23,4.6,3.6,1.0,0.2,Setosa,0.582,0.818,0.145,0.08,0.85,0.201,0.829,0.206,Setosa
24,5.1,3.3,1.7,0.5,Setosa,0.646,0.75,0.246,0.2,0.769,0.132,0.748,0.206,Setosa
25,4.8,3.4,1.9,0.2,Setosa,0.608,0.773,0.275,0.08,0.787,0.158,0.768,0.206,Setosa
26,5.0,3.0,1.6,0.2,Setosa,0.633,0.682,0.232,0.08,0.836,0.162,0.829,0.154,Setosa
27,5.0,3.4,1.6,0.4,Setosa,0.633,0.773,0.232,0.16,0.799,0.122,0.768,0.154,Setosa
28,5.2,3.5,1.5,0.2,Setosa,0.658,0.795,0.217,0.08,0.793,0.088,0.768,0.103,Setosa
29,5.2,3.4,1.4,0.2,Setosa,0.658,0.773,0.203,0.08,0.8,0.1,0.788,0.206,Setosa
30,4.7,3.2,1.6,0.2,Setosa,0.595,0.727,0.232,0.08,0.863,0.164,0.869,0.206,Setosa
31,4.8,3.1,1.6,0.2,Setosa,0.608,0.705,0.232,0.08,0.861,0.163,0.849,0.206,Setosa
32,5.4,3.4,1.5,0.4,Setosa,0.684,0.773,0.217,0.16,0.74,0.093,0.728,0.154,Setosa
33,5.2,4.1,1.5,0.1,Setosa,0.658,0.932,0.217,0.04,0.782,0.018,0.768,0.051,Setosa
34,5.5,4.2,1.4,0.2,Setosa,0.696,0.955,0.203,0.08,0.732,0.01,0.728,0.0,Setosa
35,4.9,3.1,1.5,0.2,Setosa,0.62,0.705,0.217,0.08,0.863,0.15,0.849,0.154,Setosa
36,5.0,3.2,1.2,0.2,Setosa,0.633,0.727,0.174,0.08,0.904,0.114,0.909,0.051,Setosa
37,5.5,3.5,1.3,0.2,Setosa,0.696,0.795,0.188,0.08,0.726,0.074,0.707,0.103,Setosa
38,4.9,3.6,1.4,0.1,Setosa,0.62,0.818,0.203,0.04,0.866,0.086,0.869,0.103,Setosa
39,4.4,3.0,1.3,0.2,Setosa,0.557,0.682,0.188,0.08,0.94,0.19,0.95,0.206,Setosa
40,5.1,3.4,1.5,0.2,Setosa,0.646,0.773,0.217,0.08,0.816,0.106,0.808,0.154,Setosa
41,5.0,3.5,1.3,0.3,Setosa,0.633,0.795,0.188,0.12,0.857,0.09,0.849,0.051,Setosa
42,4.5,2.3,1.3,0.3,Setosa,0.57,0.523,0.188,0.12,1.0,0.19,0.99,0.206,Setosa
43,4.4,3.2,1.3,0.2,Setosa,0.557,0.727,0.188,0.08,0.924,0.189,0.93,0.206,Setosa
44,5.0,3.5,1.6,0.6,Setosa,0.633,0.795,0.232,0.24,0.763,0.118,0.748,0.154,Setosa
45,5.1,3.8,1.9,0.4,Setosa,0.646,0.864,0.275,0.16,0.809,0.034,0.808,0.051,Setosa
46,4.8,3.0,1.4,0.3,Setosa,0.608,0.682,0.203,0.12,0.914,0.154,0.909,0.206,Setosa
47,5.1,3.8,1.6,0.2,Setosa,0.646,0.864,0.232,0.08,0.807,0.052,0.788,0.0,Setosa
48,4.6,3.2,1.4,0.2,Setosa,0.582,0.727,0.203,0.08,0.91,0.165,0.889,0.154,Setosa
49,5.3,3.7,1.5,0.2,Setosa,0.671,0.841,0.217,0.08,0.77,0.06,0.748,0.103,Setosa
50,5.0,3.3,1.4,0.2,Setosa,0.633,0.75,0.203,0.08,0.862,0.115,0.849,0.103,Setosa
51,7.0,3.2,4.7,1.4,Versicolor,0.886,0.727,0.681,0.56,0.458,0.711,0.445,0.72,Versicolor
52,6.4,3.2,4.5,1.5,Versicolor,0.81,0.727,0.652,0.6,0.349,0.696,0.323,0.72,Versicolor
53,6.9,3.1,4.9,1.5,Versicolor,0.873,0.705,0.71,0.6,0.466,0.735,0.465,0.72,Versicolor
54,5.5,2.3,4.0,1.3,Versicolor,0.696,0.523,0.58,0.52,0.052,0.607,0.061,0.617,Versicolor
55,6.5,2.8,4.6,1.5,Versicolor,0.823,0.636,0.667,0.6,0.358,0.717,0.344,0.72,Versicolor
56,5.7,2.8,4.5,1.3,Versicolor,0.722,0.636,0.652,0.52,0.154,0.673,0.182,0.668,Versicolor
57,6.3,3.3,4.7,1.6,Versicolor,0.797,0.75,0.681,0.64,0.35,0.726,0.344,0.771,Versicolor
58,4.9,2.4,3.3,1.0,Versicolor,0.62,0.545,0.478,0.4,0.002,0.552,0.02,0.565,Versicolor
59,6.6,2.9,4.6,1.3,Versicolor,0.835,0.659,0.667,0.52,0.383,0.7,0.364,0.72,Versicolor
60,5.2,2.7,3.9,1.4,Versicolor,0.658,0.614,0.565,0.56,0.038,0.615,0.04,0.617,Versicolor
61,5.0,2.0,3.5,1.0,Versicolor,0.633,0.455,0.507,0.4,0.005,0.557,0.02,0.617,Versicolor
62,5.9,3.0,4.2,1.5,Versicolor,0.747,0.682,0.609,0.6,0.196,0.657,0.202,0.617,Versicolor
63,6.0,2.2,4.0,1.0,Versicolor,0.759,0.5,0.58,0.4,0.125,0.583,0.141,0.617,Versicolor
64,6.1,2.9,4.7,1.4,Versicolor,0.772,0.659,0.681,0.56,0.279,0.72,0.263,0.771,Versicolor
65,5.6,2.9,3.6,1.3,Versicolor,0.709,0.659,0.522,0.52,0.079,0.586,0.081,0.565,Versicolor
66,6.7,3.1,4.4,1.4,Versicolor,0.848,0.705,0.638,0.56,0.395,0.686,0.384,0.72,Versicolor
67,5.6,3.0,4.5,1.5,Versicolor,0.709,0.682,0.652,0.6,0.146,0.687,0.162,0.72,Versicolor
68,5.8,2.7,4.1,1.0,Versicolor,0.734,0.614,0.594,0.4,0.137,0.613,0.162,0.617,Versicolor
69,6.2,2.2,4.5,1.5,Versicolor,0.785,0.5,0.652,0.6,0.183,0.746,0.182,0.771,Versicolor
70,5.6,2.5,3.9,1.1,Versicolor,0.709,0.568,0.565,0.44,0.087,0.595,0.101,0.617,Versicolor
71,5.9,3.2,4.8,1.8,Versicolor,0.747,0.727,0.696,0.72,0.28,0.778,0.283,0.771,Virginica
72,6.1,2.8,4.0,1.3,Versicolor,0.772,0.636,0.58,0.52,0.196,0.623,0.182,0.565,Versicolor
73,6.3,2.5,4.9,1.5,Versicolor,0.797,0.568,0.71,0.6,0.316,0.776,0.323,0.771,Virginica
74,6.1,2.8,4.7,1.2,Versicolor,0.772,0.636,0.681,0.48,0.257,0.708,0.263,0.72,Versicolor
75,6.4,2.9,4.3,1.3,Versicolor,0.81,0.659,0.623,0.52,0.309,0.666,0.303,0.668,Versicolor
76,6.6,3.0,4.4,1.4,Versicolor,0.835,0.682,0.638,0.56,0.371,0.685,0.364,0.668,Versicolor
77,6.8,2.8,4.8,1.4,Versicolor,0.861,0.636,0.696,0.56,0.434,0.724,0.424,0.72,Versicolor
78,6.7,3.0,5.0,1.7,Versicolor,0.848,0.682,0.725,0.68,0.468,0.78,0.445,0.771,Versicolor
79,6.0,2.9,4.5,1.5,Versicolor,0.759,0.659,0.652,0.6,0.25,0.689,0.243,0.668,Versicolor
80,5.7,2.6,3.5,1.0,Versicolor,0.722,0.591,0.507,0.4,0.072,0.569,0.081,0.514,Versicolor
81,5.5,2.4,3.8,1.1,Versicolor,0.696,0.545,0.551,0.44,0.061,0.586,0.061,0.565,Versicolor
82,5.5,2.4,3.7,1.0,Versicolor,0.696,0.545,0.536,0.4,0.058,0.576,0.04,0.565,Versicolor
83,5.8,2.7,3.9,1.2,Versicolor,0.734,0.614,0.565,0.48,0.124,0.606,0.121,0.565,Versicolor
84,6.0,2.7,5.1,1.6,Versicolor,0.759,0.614,0.739,0.64,0.315,0.818,0.323,0.874,Virginica
85,5.4,3.0,4.5,1.5,Versicolor,0.684,0.682,0.652,0.6,0.104,0.686,0.101,0.668,Versicolor
86,6.0,3.4,4.5,1.6,Versicolor,0.759,0.773,0.652,0.64,0.281,0.699,0.283,0.668,Versicolor
87,6.7,3.1,4.7,1.5,Versicolor,0.848,0.705,0.681,0.6,0.422,0.717,0.404,0.72,Versicolor
88,6.3,2.3,4.4,1.3,Versicolor,0.797,0.523,0.638,0.52,0.183,0.726,0.182,0.72,Versicolor
89,5.6,3.0,4.1,1.3,Versicolor,0.709,0.682,0.594,0.52,0.119,0.641,0.121,0.72,Versicolor
90,5.5,2.5,4.0,1.3,Versicolor,0.696,0.568,0.58,0.52,0.071,0.614,0.081,0.617,Versicolor
91,5.5,2.6,4.4,1.2,Versicolor,0.696,0.591,0.638,0.48,0.084,0.651,0.081,0.668,Versicolor
92,6.1,3.0,4.6,1.4,Versicolor,0.772,0.682,0.667,0.56,0.277,0.704,0.283,0.72,Versicolor
93,5.8,2.6,4.0,1.2,Versicolor,0.734,0.591,0.58,0.48,0.123,0.611,0.121,0.617,Versicolor
94,5.0,2.3,3.3,1.0,Versicolor,0.633,0.523,0.478,0.4,0.005,0.553,0.0,0.617,Versicolor
95,5.6,2.7,4.2,1.3,Versicolor,0.709,0.614,0.609,0.52,0.106,0.639,0.121,0.668,Versicolor
96,5.7,3.0,4.2,1.2,Versicolor,0.722,0.682,0.609,0.48,0.145,0.644,0.162,0.668,Versicolor
97,5.7,2.9,4.2,1.3,Versicolor,0.722,0.659,0.609,0.52,0.139,0.646,0.141,0.72,Versicolor
98,6.2,2.9,4.3,1.3,Versicolor,0.785,0.659,0.623,0.52,0.254,0.665,0.263,0.668,Versicolor
99,5.1,2.5,3.0,1.1,Versicolor,0.646,0.568,0.435,0.44,0.0,0.546,0.0,0.565,Versicolor
100,5.7,2.8,4.1,1.3,Versicolor,0.722,0.636,0.594,0.52,0.127,0.632,0.141,0.668,Versicolor
101,6.3,3.3,6.0,2.5,Virginica,0.797,0.75,0.87,1.0,0.66,0.879,0.647,0.874,Virginica
102,5.8,2.7,5.1,1.9,Virginica,0.734,0.614,0.739,0.76,0.289,0.842,0.283,0.874,Virginica
103,7.1,3.0,5.9,2.1,Virginica,0.899,0.682,0.855,0.84,0.626,0.944,0.606,0.977,Virginica
104,6.3,2.9,5.6,1.8,Virginica,0.797,0.659,0.812,0.72,0.476,0.885,0.465,0.874,Virginica
105,6.5,3.0,5.8,2.2,Virginica,0.823,0.682,0.841,0.88,0.573,0.902,0.566,0.977,Virginica
106,7.6,3.0,6.6,2.1,Virginica,0.962,0.682,0.957,0.84,0.687,0.987,0.667,0.925,Virginica
107,4.9,2.5,4.5,1.7,Virginica,0.62,0.568,0.652,0.68,0.014,0.678,0.02,0.668,Versicolor
108,7.3,2.9,6.3,1.8,Virginica,0.924,0.659,0.913,0.72,0.65,0.979,0.647,0.977,Virginica
109,6.7,2.5,5.8,1.8,Virginica,0.848,0.568,0.841,0.72,0.518,0.935,0.505,0.925,Virginica
110,7.2,3.6,6.1,2.5,Virginica,0.911,0.818,0.884,1.0,0.696,0.938,0.687,0.925,Virginica
111,6.5,3.2,5.1,2.0,Virginica,0.823,0.727,0.739,0.8,0.513,0.832,0.505,0.822,Virginica
112,6.4,2.7,5.3,1.9,Virginica,0.81,0.614,0.768,0.76,0.446,0.857,0.424,0.874,Virginica
113,6.8,3.0,5.5,2.1,Virginica,0.861,0.682,0.797,0.84,0.572,0.894,0.566,0.925,Virginica
114,5.7,2.5,5.0,2.0,Virginica,0.722,0.568,0.725,0.8,0.259,0.848,0.263,0.874,Virginica
115,5.8,2.8,5.1,2.4,Virginica,0.734,0.636,0.739,0.96,0.299,0.876,0.303,0.874,Virginica
116,6.4,3.2,5.3,2.3,Virginica,0.81,0.727,0.768,0.92,0.566,0.854,0.546,0.822,Virginica
117,6.5,3.0,5.5,1.8,Virginica,0.823,0.682,0.797,0.72,0.503,0.878,0.485,0.874,Virginica
118,7.7,3.8,6.7,2.2,Virginica,0.975,0.864,0.971,0.88,0.727,0.977,0.707,0.925,Virginica
119,7.7,2.6,6.9,2.3,Virginica,0.975,0.591,1.0,0.92,0.69,1.0,0.687,0.977,Virginica
120,6.0,2.2,5.0,1.5,Virginica,0.759,0.5,0.725,0.6,0.22,0.803,0.222,0.822,Versicolor
121,6.9,3.2,5.7,2.3,Virginica,0.873,0.727,0.826,0.92,0.626,0.91,0.606,0.874,Virginica
122,5.6,2.8,4.9,2.0,Virginica,0.709,0.636,0.71,0.8,0.25,0.839,0.263,0.822,Virginica
123,7.7,2.8,6.7,2.0,Virginica,0.975,0.636,0.971,0.8,0.687,0.994,0.667,0.977,Virginica
124,6.3,2.7,4.9,1.8,Virginica,0.797,0.614,0.71,0.72,0.36,0.8,0.344,0.874,Virginica
125,6.7,3.3,5.7,2.1,Virginica,0.848,0.75,0.826,0.84,0.606,0.899,0.586,0.874,Virginica
126,7.2,3.2,6.0,1.8,Virginica,0.911,0.727,0.87,0.72,0.634,0.961,0.627,0.925,Virginica
127,6.2,2.8,4.8,1.8,Virginica,0.785,0.636,0.696,0.72,0.333,0.787,0.344,0.822,Virginica
128,6.1,3.0,4.9,1.8,Virginica,0.772,0.682,0.71,0.72,0.33,0.795,0.323,0.822,Virginica
129,6.4,2.8,5.6,2.1,Virginica,0.81,0.636,0.812,0.84,0.516,0.892,0.505,0.874,Virginica
130,7.2,3.0,5.8,1.6,Virginica,0.911,0.682,0.841,0.64,0.606,0.964,0.586,0.925,Virginica
131,7.4,2.8,6.1,1.9,Virginica,0.937,0.636,0.884,0.76,0.645,0.973,0.627,0.977,Virginica
132,7.9,3.8,6.4,2.0,Virginica,1.0,0.864,0.928,0.8,0.725,0.979,0.707,0.977,Virginica
133,6.4,2.8,5.6,2.2,Virginica,0.81,0.636,0.812,0.88,0.527,0.893,0.525,0.925,Virginica
134,6.3,2.8,5.1,1.5,Virginica,0.797,0.636,0.739,0.6,0.378,0.797,0.364,0.771,Versicolor
135,6.1,2.6,5.6,1.4,Virginica,0.772,0.591,0.812,0.56,0.385,0.882,0.364,0.874,Virginica
136,7.7,3.0,6.1,2.3,Virginica,0.975,0.682,0.884,0.92,0.681,0.977,0.647,0.925,Virginica
137,6.3,3.4,5.6,2.4,Virginica,0.797,0.773,0.812,0.96,0.627,0.863,0.606,0.822,Virginica
138,6.4,3.1,5.5,1.8,Virginica,0.81,0.705,0.797,0.72,0.499,0.874,0.485,0.822,Virginica
139,6.0,3.0,4.8,1.8,Virginica,0.759,0.682,0.696,0.72,0.3,0.785,0.303,0.771,Virginica
140,6.9,3.1,5.4,2.1,Virginica,0.873,0.705,0.783,0.84,0.584,0.888,0.566,0.874,Virginica
141,6.7,3.1,5.6,2.4,Virginica,0.848,0.705,0.812,0.96,0.608,0.89,0.586,0.822,Virginica
142,6.9,3.1,5.1,2.3,Virginica,0.873,0.705,0.739,0.92,0.587,0.848,0.566,0.822,Virginica
143,5.8,2.7,5.1,1.9,Virginica,0.734,0.614,0.739,0.76,0.288,0.842,0.283,0.822,Virginica
144,6.8,3.2,5.9,2.3,Virginica,0.861,0.727,0.855,0.92,0.634,0.915,0.606,0.925,Virginica
145,6.7,3.3,5.7,2.5,Virginica,0.848,0.75,0.826,1.0,0.639,0.892,0.627,0.874,Virginica
146,6.7,3.0,5.2,2.3,Virginica,0.848,0.682,0.754,0.92,0.567,0.857,0.546,0.874,Virginica
147,6.3,2.5,5.0,1.9,Virginica,0.797,0.568,0.725,0.76,0.364,0.826,0.364,0.822,Virginica
148,6.5,3.0,5.2,2.0,Virginica,0.823,0.682,0.754,0.8,0.501,0.845,0.485,0.771,Virginica
149,6.2,3.4,5.4,2.3,Virginica,0.785,0.773,0.783,0.92,0.595,0.846,0.586,0.771,Virginica
150,5.9,3.0,5.1,1.8,Virginica,0.747,0.682,0.739,0.72,0.314,0.828,0.303,0.822,Virginica
